icfes_puesto,cutoff,ingresa_u3
-441,-571,0
-440,-850,1
-439,-850,0.84615386
-439,-571,1
-438,-850,0.66666669
-438,-571,1
-437,-850,0.88461536
-437,-571,1
-436,-850,0.82608694
-435,-850,0.93333334
-434,-850,0.94444442
-434,-571,0
-433,-850,0.86666667
-433,-571,1
-432,-850,1
-431,-850,0.73333335
-431,-571,1
-430,-850,1
-429,-850,0.88235295
-429,-571,1
-428,-850,0.6111111
-427,-850,0.89999998
-427,-571,0
-426,-850,0.9375
-425,-850,0.60000002
-425,-571,1
-424,-850,0.84615386
-424,-571,1
-423,-850,0.7647059
-423,-571,0
-422,-850,0.83333331
-422,-571,1
-421,-850,0.8888889
-421,-571,1
-420,-850,0.80952382
-420,-571,1
-419,-850,0.89473683
-418,-850,0.84615386
-418,-571,0.5
-417,-850,0.95454544
-417,-571,1
-416,-850,0.83333331
-415,-850,0.72727275
-414,-850,1
-414,-571,1
-413,-850,0.71428573
-413,-571,1
-412,-850,0.91666669
-412,-571,1
-411,-850,0.7647059
-410,-850,0.85714287
-409,-850,0.9285714
-409,-571,1
-408,-850,0.80000001
-407,-850,0.7647059
-407,-571,1
-406,-850,0.85000002
-405,-850,0.7647059
-405,-571,1
-404,-850,0.89473683
-404,-571,1
-403,-850,0.91666669
-403,-571,1
-402,-850,0.95999998
-401,-850,0.83333331
-401,-571,0.5
-400,-850,0.80000001
-400,-571,0
-399,-850,0.73333335
-399,-571,1
-398,-850,0.82352942
-397,-850,0.8125
-396,-850,1
-395,-850,0.83333331
-394,-850,0.88235295
-394,-571,1
-393,-850,1
-392,-850,0.8888889
-391,-850,0.8125
-391,-571,1
-390,-850,0.9375
-390,-571,1
-389,-850,0.94736844
-388,-850,0.54545456
-387,-850,0.875
-387,-571,0
-386,-850,0.58823532
-386,-571,1
-385,-850,0.83333331
-385,-571,1
-384,-850,0.875
-383,-850,0.63636363
-382,-850,0.81818181
-382,-571,1
-381,-850,0.91666669
-380,-850,0.89473683
-379,-850,0.86666667
-378,-850,0.94117647
-378,-571,1
-377,-850,0.625
-376,-850,0.94999999
-375,-850,0.89473683
-375,-571,1
-374,-850,0.94999999
-373,-850,1
-373,-571,1
-372,-850,0.95833331
-371,-850,0.92307693
-370,-850,0.77777779
-369,-850,0.8125
-369,-571,1
-368,-850,0.76190478
-367,-850,1
-367,-571,0
-366,-850,0.83333331
-365,-850,0.85714287
-364,-850,0.89999998
-364,-571,0.66666669
-363,-850,1
-363,-571,1
-362,-850,0.94444442
-362,-571,1
-361,-850,0.93333334
-360,-850,0.9130435
-360,-571,1
-359,-850,0.83333331
-359,-571,1
-358,-850,0.77777779
-358,-571,1
-357,-850,1
-357,-571,1
-356,-850,0.94117647
-356,-571,0.5
-355,-850,0.83999997
-355,-571,1
-354,-850,0.84210527
-354,-571,1
-353,-850,0.90476191
-352,-850,0.93333334
-352,-571,1
-351,-850,0.90476191
-350,-850,0.82352942
-350,-571,1
-349,-850,0.875
-349,-571,0.5
-348,-850,0.94117647
-347,-850,0.92307693
-346,-850,0.9375
-346,-571,1
-345,-850,0.90476191
-345,-571,1
-344,-850,0.77777779
-343,-850,0.80000001
-343,-571,1
-342,-850,0.76190478
-342,-571,1
-341,-850,0.83333331
-341,-571,0.5
-340,-850,0.83333331
-340,-571,1
-339,-850,0.86956519
-338,-850,0.84615386
-338,-571,1
-337,-850,0.75
-337,-571,1
-336,-850,0.89999998
-336,-571,1
-335,-850,0.83999997
-335,-571,1
-334,-850,0.85000002
-334,-571,0.33333334
-333,-850,0.9375
-333,-571,1
-332,-850,0.92307693
-332,-571,1
-331,-850,0.90909094
-331,-571,0.5
-330,-850,0.76190478
-330,-571,0.66666669
-329,-850,0.9375
-329,-571,1
-328,-850,0.96666664
-328,-571,1
-327,-850,0.69565219
-327,-571,0
-326,-850,0.8125
-326,-571,1
-325,-850,0.77777779
-325,-571,1
-324,-850,0.90476191
-324,-571,1
-323,-850,0.82608694
-323,-571,1
-322,-850,0.9130435
-322,-571,0.75
-321,-850,0.80000001
-321,-571,0.66666669
-320,-850,0.90909094
-320,-571,0
-319,-850,0.9285714
-319,-571,1
-318,-850,0.83333331
-318,-571,1
-317,-850,0.94444442
-317,-571,1
-316,-850,0.94117647
-315,-850,0.85714287
-315,-571,1
-314,-850,0.86666667
-314,-571,1
-313,-850,0.93333334
-312,-850,0.94999999
-312,-571,1
-311,-850,0.90476191
-311,-571,1
-310,-850,0.875
-310,-571,1
-309,-850,0.83333331
-308,-850,0.875
-307,-850,0.83333331
-307,-571,1
-306,-850,0.9130435
-306,-571,1
-305,-850,0.875
-304,-850,0.84210527
-304,-571,1
-303,-850,0.77272725
-303,-571,1
-302,-850,0.88461536
-302,-571,0
-301,-850,1
-301,-571,1
-300,-850,0.94999999
-300,-571,1
-299,-850,0.83333331
-299,-571,1
-298,-850,0.84615386
-298,-571,1
-297,-850,0.85714287
-296,-850,0.875
-296,-571,1
-295,-850,0.8888889
-294,-850,0.91666669
-294,-571,1
-293,-850,0.8125
-292,-850,0.86666667
-292,-571,1
-291,-850,0.9130435
-291,-571,1
-290,-850,0.82608694
-290,-571,0.5
-289,-850,0.81481481
-288,-850,0.94999999
-288,-571,0.5
-287,-850,0.90909094
-287,-571,1
-286,-850,0.8125
-286,-571,1
-285,-850,0.80000001
-285,-571,0.66666669
-284,-850,0.73076922
-284,-571,1
-283,-850,0.95454544
-283,-571,1
-282,-850,0.85714287
-282,-571,1
-281,-850,0.78947371
-281,-571,1
-280,-850,0.96296299
-280,-571,1
-279,-850,0.85714287
-279,-571,1
-278,-850,0.86956519
-278,-571,1
-277,-850,0.8888889
-277,-571,1
-276,-850,0.8125
-276,-571,1
-275,-850,0.9130435
-275,-571,0.75
-274,-850,0.84615386
-274,-571,1
-273,-850,0.89473683
-272,-850,0.82608694
